Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
RLC00029Zm00004b00007	2.7688476648108944	-0.565247691084611	1.089554817832909	-0.518787748751248	0.6039087622170931	0.8087170280160371	FALSE
RLX33440Zm00004b00001	6.356611726174588	-0.32086979779411945	0.618304921430196	-0.518950742057686	0.6037950915781408	0.8087170280160371	FALSE
DHH00002Zm00004b06735	2.9734010019829658	0.4540994042057026	0.8775070587522367	0.5174880357673762	0.6048155186708567	0.8097016283888385	FALSE
DTH11799Zm00004b00003	4.392083479561217	-0.3907247401983547	0.755131392879318	-0.5174261643507102	0.6048586990423659	0.8097016283888385	FALSE
RLG00005Zm00004b01889	1.6019786529167124	0.5528325367083116	1.0687976758348792	0.5172471359244608	0.6049836516642696	0.8097016283888385	FALSE
RST00067Zm00004b00002	6.318878461249985	-0.30316800226175944	0.5859968967418894	-0.517354279429391	0.6049088696250027	0.8097016283888385	FALSE
DHH00002Zm00004b00797	1.342359139048475	-0.5989626383068319	1.1583299270450234	-0.517091568060255	0.605092239418352	0.8097333139339609	FALSE
DHH00002Zm00004b02756	6.182826982339205	-0.27593661565187816	0.5340967522033642	-0.5166416281573114	0.6054063506379972	0.809926341145334	FALSE
RLC01841Zm00004b00002	1.556550062523634	-0.6098721884913437	1.1802390587151836	-0.5167361510262631	0.6053403564453819	0.809926341145334	FALSE
RLG00008Zm00004b02160	1.638379983734163	0.6300264755907324	1.2202230106085663	0.5163207627731238	0.6056303972014583	0.8101124235815831	FALSE
RST00262Zm00004b00001	1.9263484650549398	0.5629753114971634	1.0906433686154078	0.5161864342620733	0.6057242040750501	0.8101242650855088	FALSE
